Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Defenseless Target ,You feel the breath leave the target as you apply pressure.,Attack,Daily,20,Breathstealer,"Martial, Weapon",Swift,Melee,"weapon, one creature you are grappling with a garotte",,,,,,,"The target is helpless against your attacks until the start of your next turn or until you score a hit (whichever comes first). On a hit, the target falls unconscious. If the target suffers any further damage, it is no longer unconscious.",,,
,,,,,,,,,,,,,,,,,,,
Ring Fighter,,,,,,,,,,,,,,,,,,,
Side Control,You gain the edge and lock your opponent on the ground.,Attack,Encounter,11,Ring Fighter,Martial,Move,Melee,"touch, one creature you are grappling",,,,,,,"Strength modifier + Dexterity modifier damage, and the target is dazed until they escape.",,,
Tolerance Threshold ,The enemy puts on the pressure. You grit your teeth and hold back the pain.,Utility,Daily,12,Ring Fighter,Martial,No,Self,,,,,,,,"Recover from any of the following conditions at the start of your turn: dazed, slowed, stunned, and weakened. You also end any persistent damage conditions you currently suffer from, and gain a +5 bonus to escape from any grapple you are currently in until you succeed.",,,
Mounted Attack ,You have complete control. Your enemy is done for the day.,Attack,Daily,20,Ring Fighter,Martial,Standard,Melee,"touch, one creature you are grappling",,,,,,,"Strength modifier + Dexterity modifier damage, and the target is stunned (save ends).",,"Move: Strength modifier + Dexterity modifier damage and the target suffers a -3 penalty to their saving throw against the stunned effect. If the target saves, you can still sustain this power to do damage until the target escapes.",
,,,,,,,,,,,,,,,,,,,
Bounty Hunter,,,,,,,,,,,,,,,,,,,
Thought Process,You predict where the enemy will move.,Attack,Encounter,11,Bounty Hunter,"Martial, Consistent, Tactical",Move,Near,"burst 10, your focus",,,Intelligence +2,Will,The target suffers a -2 penalty to all attack rolls and grants combat advantage to all allies in open range until the end of your next turn.,,,You can use this power again with an action point (replacing the action).,,
Mental Prediction,"Your knowledge of the enemy runs deep, beyond what your allies or even enemies know.",Utility,Encounter,12,Bounty Hunter,Martial,Move,Near,"earshot, you and up to four allies",,,,,,,The target gains a +2 power bonus to AC and Reflex defense against your focus until the start of your next turn.,,The effect persists.  You can sustain only once.,
This One Especially,"Of all the targets, this is the one that must be taken down immediately.",Attack,Daily,20,Bounty Hunter,"Martial, Weapon",Swift,Near,"earshot, you and up to four allies",,,,,,,The target makes a basic attack against your focus.,,,
,,,,,,,,,,,,,,,,,,,
Tactician,,,,,,,,,,,,,,,,,,,
Eyes All Around,"You relay enemy weaknesses to your allies, giving them opportunities to attack.",Attack,Encounter,11,Tactician,Martial,Move,Near,"earshot, three allies",,,,,,,The target makes a basic attack.,,,
Reevaluate Strategy,Battles are unpredictable and you make a quick alteration in the plan to adjust to enemy maneuvers.,Utility,At-will,12,Tactician,Martial,Move,Near,"earshot, two allies",,,,,,,The target shifts 1 square.,,,
Superior Strategic Endeavor,You shout out a particularly complicated plan which will work flawlessly if everyone does what they’re supposed to do.,Attack,Daily,20,Tactician,Martial,Move,Near,"earshot, two allies",,,,,,,The target uses one encounter power.  The chosen power is not expended.,,,
,,,,,,,,,,,,,,,,,,,
Battlefield Healer,,,,,,,,,,,,,,,,,,,
Race to the Fallen,"An ally falls from a heavy blow. You race to their aid, attacking the enemy desperately in hopes it will back off. ",Attack,Encounter,11,Battlefield Healer,"Healing, Martial, Weapon",Immediate (react),Near,"burst 5, the triggering ally",,One ally in burst you can see is staggered by an attack.,,,,,"The triggering enemy is pushed 2 squares, and you make a basic attack against it (in either order).  Shift into a square adjacent to the target. The target can spend a recovery and regain its recovery value plus 3d6 additional hit points.
",,,
Impromptu Surgery,A foreign implement is causing internal bleeding.  You fish it out and try to close the wound.,Utility,Daily,12,Battlefield Healer,"Healing, Martial ",Standard and Move,Melee,"touch, one staggered ally",,,,,,,The target automatically succeeds on one saving throw and can spend up to two recoveries to heal its recovery value that many times. ,,,
No Longer Civilized,An ally succumbs to their injuries.  You can no longer be a healer.  You must be a protector.,Attack,Daily,20,Battlefield Healer,"Martial, Weapon",Standard,Melee or Ranged,"weapon, one creature that has reduced an ally in line of sight to 0 hit points or below.",,,,,Wisdom,,"4dW + Wisdom modifier damage, and the target is pushed a number of squares equal to your Wisdom modifier.","Repeat the attack against the same target. The second attack suffers a -2 to the attack roll but deals +1dW damage on a hit. If you still miss, the target takes half damage and is pushed one square.",,
,,,,,,,,,,,,,,,,,,,
Silvertongue,,,,,,,,,,,,,,,,,,,
Volume and Presence,Your opponent’s argument is invalid and ridiculous and your tolerance for their ignorance is over.,Attack,Encounter,11,Silvertongue,"Fear, Martial, Psyche, Consistent",Move,Near,"burst 5, one creature",,,Charisma +2,Will,The target is immobile and dazed until the start of your next turn. You gain a +2 power bonus to Intimidate and Diplomacy checks against the target until the end of your next turn.,,,,Swift: You gain a +2 power bonus to Intimidate and Diplomacy checks against the target until the end of your next turn.,
Making It Up,"Unable to find the right set of truths to make your point, you just take a guess.",Utility,Daily,12,Silvertongue,Martial,Free,Self,,,,,,,,"You treat your next Bluff, History or Streetsmarts check before the end of your next turn as if you had rolled a 20.",,,
Everything You Got,"Your arguments are so compelling, your opponent is having a difficult time concentrating.",Attack,Daily,20,Silvertongue,"Martial, Psyche, Consistent",Move,Near,"burst 5, one creature",,,Charisma +2,Will,The target is stunned until the start of your next turn. The target suffers a -4 penalty against any opposed Diplomacy or Intimidate checks and suffers a -4 penalty to Will defense until the end of the encounter.,,,,,
,,,,,,,,,,,,,,,,,,,
Manslayer,,,,,,,,,,,,,,,,,,,
Make Sure They're Dead,Otherwise you don’t get paid …,Attack,Encounter,11,Manslayer,"Martial, Consistent, Weapon",Free,Near,"burst 5, the triggering creature",,You stagger a creature with a one-handed weapon.,Strength or Dexterity (your choice),AC,2dW + Strength or Dexterity (your choice) modifier damage.,,,,,
The Professional,No emotions.  No investments.  No hesitation.,Utility,Daily,12,Manslayer,Martial,Swift,Self,,,,,,,,"Until the end of the encounter, when you are granted a basic attack outside of your turn (from an opportunity action, ally power, etc), you can make two basic attacks. You must use a one-handed weapon for these attacks.",,,
Like a Ghost,"You strike.  Your enemy is sure of your position, but they assume wrong.",Attack,Daily,20,Manslayer,"Martial, Weapon",Standard,Melee or Ranged,"weapon, one creature granting you combat advantage",,,Strength or Dexterity (your choice),AC,4dW + Strength or Dexterity (your choice) modifier damage.,Half damage.,Shift up to 10 squares.,,,
,,,,,,,,,,,,,,,,,,,
Martial Arts Champion,,,,,,,,,,,,,,,,,,,
Technical Attack,Your attack carries amazing power from a short distance.,Attack,Encounter,11,Martial Arts Champion,Martial,Free,Self,,,You hit a creature with a melee weapon.,,,,,"Until the end of your next turn, each time you hit the triggering creature with a melee attack, you push it 2 squares and knock it prone. If the creature cannot be pushed 2 squares, it takes additional damage equal to twice your Dexterity modifier and is dazed until the start of your next turn. If the target is pushed, you can immediately shift into an adjacent square. ",,Swift: The effect persists against the same target. You can maintain until it is dazed.,
Battlefield Dance,"You flip, jump, and dance your way past your enemies.",Utility,Daily,12,Martial Arts Champion,"Martial, Teleportation",Move,Near,"burst 10, one creature you can see",,,,,,,Teleport to an adjacent square to the target.  You cannot move though an impassable object (like a wall or locked door).,,,
Pressure Point,Your strike causes the touch of death.,Attack,Daily,20,Martial Arts Champion,"Booster, Martial, Weapon",Free,Self,,,You hit a creature.,,,,,The triggering creature takes persistent 20 damage (save ends).,,,
,,,,,,,,,,,,,,,,,,,
Deadeye Arbalester,,,,,,,,,,,,,,,,,,,
Strafing Attack,"You bolt across the battlefield, hardly taking a moment to aim. The crossbow remains steady as you run.",Attack,Encounter,11,Deadeye Arbalester,"Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"2dW + Dexterity modifier damage, and the target is pushed a number of squares equal to your Wisdom modifier.","Half damage, and the target is pushed 1 square.","Before your attack, shift your speed. You can attack at any point during the move.",,,
Through the Hat,That last shot had you for certain.  You pass your fingers nonchalantly through your hair and reenter the fight.,Utility,Daily,12,Deadeye Arbalester,Martial,Immediate (Counter),Self,,,You are hit with a ranged attack.,,,,,The attack misses.,,,
Bolt Waltz,"Like a ballet, you sashay and sidestep, firing at opponents and avoiding every counterattack.",Attack,Daily,20,Deadeye Arbalester,"Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,1dW + Dexterity modifier damage.,,"Repeat the attack three times, shifting 4 squares before each attack.",,,
,,,,,,,,,,,,,,,,,,,
Master,,,,,,,,,,,,,,,,,,,
Pioneer ,You're not tired. You're just getting warmed up.,Utility,Daily,26,Master,Martial,Free,Self,,,,,,,,"Spend any number of recoveries to recover that many times your recovery value, and recover all your used encounter powers. You can spend any number of action points until the end of the encounter.","Once you use this power, you cannot recover it except by taking a long rest.",,
,,,,,,,,,,,,,,,,,,,
Most Dangerous,,,,,,,,,,,,,,,,,,,
Reputation Earned,Your enemy will soon discover why your name is so feared.,Utility,Daily,26,Most Dangerous,Martial,Free,Self,,,,,,,,You can take an additional standard action and an additional move action on this turn and on your next turn.,,,
,,,,,,,,,,,,,,,,,,,
Respected,,,,,,,,,,,,,,,,,,,
Not Tolerate Losing ,You make every ally in the battle know how you feel about defeat. You make them fear you more than the enemy.,Utility,Daily,26,Respected,Martial,Standard,Near,"burst 10, all allies",,,,,,,The target regains one expended power. The target also gains an action point he must use before the end of his next turn.,,,
,,,,,,,,,,,,,,,,,,,
Team,,,,,,,,,,,,,,,,,,,
For the Sake of the Team,You give an ally the precious time they need complete the task.,Utility,Encounter,26,Team,Martial,Free,Near,"burst 10, one ally",,,,,,,"The target can take one standard action, one move action, and one swift action before the end of your turn.",,,
,,,,,,,,,,,,,,,,,,,
Ultimate,,,,,,,,,,,,,,,,,,,
Lasting Image,"You are ok with dying, but if this is your time or not, you will be damned if you will let this opponent get away with what it just did.",Utility,Daily,26,Ultimate,Martial,No,Self,,,You fail your final death save.,,,,,"You regain consciousness and stand up. You cannot die until the end of the encounter. You can take a single action on your turn, losing all other actions except free actions. You can still take immediate actions and opportunity attacks. You gain a +2 bonus to all attack rolls and a +5 bonus to all damage rolls until the end of the encounter. At the end of the encounter, you die.",,,
,,,,,,,,,,,,,,,,,,,
Born to Run,,,,,,,,,,,,,,,,,,,
Kinesics,You study an enemy's movements and countermove to best avoid them.,Attack,At-Will,1,Born to Run,"Martial, Maneuver",Move,Near,"burst 10, one creature you can see",,,Dexterity +2,Reflex,"Until the end of your next turn, you can pass through the target’s square, and the target cannot make opportunity attacks against you. If you end your movement 3 or more squares from your starting point, you gain a +2 power bonus to AC and Reflex defense against the target.",,Move up to your speed -2.,,,
Slippery Bastard,You employ all the tools your body gave you in order to evade enemy attacks.,Attack,Encounter,1,Born to Run,"Martial, Maneuver, Consistent",Move,Near,"burst 10, two creatures you can see",,,Dexterity +2,Reflex,The target cannot attack you until the start of your next turn.  You can pass through the target's square.,,Shift your speed and ignore difficult terrain.,,,
Single Bound,"You clear the heads of your opponents in a single jump, getting their attention, but not their attacks.",Attack,Daily,1,Born to Run,"Martial, Maneuver",Move,Self,,,,,,,,"Shift a number of squares equal to your Dexterity modifier. You can pass through enemy occupied squares.
All enemies in squares you pass through and adjacent to squares you pass through cannot attack you until the start of your next turn unless the attack targets at least one other creature.
",,,
Head Down,You keep your profile low and move defensively.,Utility,Encounter,2,Born to Run,Martial,Move,Self,,,,,,,,Shift your speed.  You gain a +4 power bonus to AC and Reflex defense until the start of your next turn.,,,
Brilliant Display,You could have won the gold medal for that stunt.,Utility,At-Will,2,Born to Run,Martial,Standard,Self,,,,,,,,Gain a +4 power bonus to your next Acrobatics check or Athletics check.,,,
Flip Dodge,"You throw your legs and toss yourself in the air, avoiding an enemy's attack.  The level of flamboyance is up to you.",Utility,Encounter,2,Born to Run,Martial,Immediate (Counter),Self,,,You are hit by a melee or ranged attack by an adjacent enemy.,,,,,"You gain a +2 power bonus to AC and Reflex defense against the attack. If the attack misses, shift 1 square. If it hits, you recover the use of this power.",,,
Unachievable Transition,Onlookers haven't a clue how you got from here to there. It was almost as if you walked on air or phased through matter. ,Attack,Daily,5,Born to Run,"Martial, Maneuver, Teleportation",Swift,Near,"burst 10, one creature you can see",,,,,,,"Until the end of your next turn, the target can only hit you with a natural 20. Teleport up to 8 squares. You must have line of sight and line of effect to the destination square.",,Move: The effect persists.  You can only maintain once.,
Somatic Reflex Arc,Weeks practicing in front of a mirror have finally paid off.,Utility,Daily,6,Born to Run,"Martial, Weapon",Free,Self,,,You start your first turn of the encounter.,,,,,"You gain a +2 power bonus to attack rolls and a +4 power bonus to damage rolls until the end of your first turn or until you hit, whichever comes last.",,,
Step Aside,"You don’t freak out.  As the creature lunges forwards, you take an almost casual sidestep.",Utility,Encounter,6,Born to Run,Martial,Immediate (Counter),Near,"burst 1, the triggering creature",,A creature enters an adjacent square as part of an attack against you.,,,,,Shift a number of squares equal to 1+ your Dexterity modifier and the target grants you combat advantage until the end of your next turn.,,,
Only Way Out Is Through,The only way to escape is through the enemy line.  You analyze the position of every opponent and plan a dash to avoid them.,Utility,Encounter,6,Born to Run,Martial,Free,Self,,,,,,,,"Until the end of this turn, all your movement is considered a shift.  You can pass through enemy occupied squares.",,,
Abnormally Fast,You know there's danger and jump into action.,Utility,Daily,10,Born to Run,Martial,No,Self,,,You roll initiative.,,,,,Gain a standard action or two move actions and take them immediately.,,,
Mad Dash,Papers fly off shelves and bystanders are blown down as you rocket past them all.,Utility,Encounter,10,Born to Run,Martial,Swift,Self,,,,,,,,Double your speed until the end of your next turn.,,,
Instant Recovery,You stumble but your instincts take over and you recover to prevent something catastrophic.,Utility,Daily,10,Born to Run,Martial,No,Self,,,You make an Athletics or Acrobatics check and dislike the result.,,,,,Either add +20 to the roll or gain a move action.,,,
Loose Joints,"You wriggle your way free and do so without knives, broken bones, or untying any knots.",Utility,Daily,16,Born to Run,Martial,Free,Self,,,,,,,,"Gain a +10 power bonus to escape from restraints or grapple. If escaping a grapple, you cannot be grappled by the same creature until after the end of your next turn.","If you don’t escape, you recover the use of this power, though it cannot be used again this round.",,
Focus Everything,Eyes on the target.  Think of nothing else.,Utility,At-Will,16,Born to Run,Martial,Move,Self,,,,,,,,Gain a +3 power bonus to your next Acrobatics or Athletics check.,,,
Where They Don’t Expect You,You fake out your opponent and slip under an arm to position yourself behind.,Utility,Daily,16,Born to Run,Martial,Immediate (Counter),Near,"burst 5, the triggering enemy",,"One enemy in range hits you with a non-critical, non-area of effect attack.",,,,,Take no damage. Shift to any unoccupied square within 2 squares of the target. The target grants you combat advantage until the end of your next turn.,,,
I Can Hear Bells Ringing,A blast occurs nearby.  You narrowly escape its effects.,Utility,Encounter,22,Born to Run,Martial,Immediate (Counter),Self,,,You are targeted by an area effect.,,,,,Shift to the nearest unoccupied square outside the area. Gain a +5 power bonus to AC and Reflex defense until the end of your next turn.,,,
Moment of Truth,"You slide like water with the speed of a cheetah, effortlessly avoiding any attack, never losing an inch of momentum in your run.",Utility,Daily,22,Born to Run,Martial,Free,Self,,,,,,,,"Until the end of your next turn, you gain a +10 power bonus to all Athletics checks to jump, all your movement is treated as a shift, you ignore difficult terrain, your speed is not reduced by crawling or squeezing, you can stand up from prone as part of a move action, you automatically succeed on Acrobatics checks to balance, and you can pass through enemy occupied squares.","If you reach a streak, you recover the use of this power.",,
,,,,,,,,,,,,,,,,,,,
High Cunning,,,,,,,,,,,,,,,,,,,
Outthink & Outwit,You quickly ascertain your enemy's eye movements and body language and determine the best course of action. ,Attack,At-Will,1,High Cunning,"Martial, Tactical",Move,Ranged,"10, one creature",,,Intelligence +2,Reflex,The target grants combat advantage to you and all allies until the start of your next turn.,,,,,
Instant Analysis,You study your opponent and gauge what their strengths are as well as possible weaknesses.,Attack,Encounter,1,High Cunning,"Martial, Reliable, Tactical",Move,Ranged,"20, one creature",,,Intelligence +2,Will,"You learn the target's attack modifiers, all defense values, and the damage capacities of its attacks. The target also suffers a -2 penalty to attack you until the end of your next turn.",,,,Move:  The attack penalty persists until the end of your next turn.,
No Sweat,"You cut the white wire, not the green wire.",Utility,At-Will,2,High Cunning,Martial,Standard,Self,,,,,,,,You gain a +2 power bonus to your next Intelligence- or Wisdom-based skill check.,,,
Archetypal Maneuver,Your talent to avoid attacks is legendary.,Attack,Encounter,3,High Cunning,"Martial, Consistent, Tactical",Move,Near,"burst 10, one creature",,,Intelligence +2,Reflex,"Until the end of your next turn, the target cannot make any attack against you that does not target at least one other creature.",,,,Move:  Repeat the attack against the same target.  You cannot maintain if you miss.,
Flash of Brilliance,"In an instant, thousands of possible outcomes race by, and you realize the best course of action",Attack,Daily,5,High Cunning,"Martial, Reliable, Tactical",Move,Near,"burst 10, one creature you can see",,,Intelligence +2,Reflex,"Until the end of the encounter, you gain a +2 power bonus to all defenses and a +5 power bonus to all skill checks against the target.",,,,,
Think Things Through,You stop and consider your opponent’s weak spot.,Attack,Encounter,7,High Cunning,"Martial, Reliable, Tactical",Move,Near,"burst 10, one creature",,,Intelligence +2,Will,"Until the end of your next turn, the target's highest defense value is reduced by 4. All other defenses are reduced by 2. Remove any marks the target has placed on you or your allies. You and each ally can immediately make a saving throw against one condition inflicted by the target.",,,,Move:  Repeat the attack against the same target.  You cannot maintain if you miss.,
Flash of Violence,"You outmaneuver your enemies, allowing yourself a chance to escape.",Attack,Daily,9,High Cunning,"Martial, Reliable, Tactical, Weapon",Move,Near,"burst 10, one creature you can see",,,Intelligence +2,Reflex,"Until the end of the encounter, you either gain a +2 power bonus to all attack rolls and a +4 power bonus to all damage rolls against the target, or you gain a +4 power bonus to all defenses against the target’s attacks.",,,,,
Improvisational Desperation ,"Well, it should work… in theory…",Attack,Daily,9,High Cunning,Martial,Move,Self,,,,,,,,Use one of your daily or encounter powers. This power is not expended.,,,
Sweep Terrain,You gain a lay of the land and instantly recognize where to take advantage of beneficial environment.,Utility,Daily,10,High Cunning,Martial,Move,Near,"earshot, you and four allies",,,,,,,"The target can shift its speed -2. Until the end of the encounter, whenever the target has cover of any sort, the penalty to attack rolls against it increases by -2.",,,
Two Steps Ahead,You remember the fundamentals of strategy from playing games of chance. You apply what you know in the combat field.,Utility,Encounter,10,High Cunning,Martial,Swift,Self,,,,,,,,Add your Intelligence modifier to all defenses until the end of your next turn. All movement you make until the end of your next turn is considered a shift.,,,
Well-Informed Hypothesis,"Everything that just happened was in your head, the result of you balancing the benefits of your action.",Utility,Encounter,16,High Cunning,Martial,Free,Self,,,You end your turn but don't like the results of it.,,,,,Redo your entire turn.  Everything that occurred during your turn did not occur.,,,
Game Theory,It can all be boiled down to mathematics.,Attack,Encounter,17,High Cunning,Martial,Move,Ranged,"20, one enemy",,,Intelligence +2,Will,"You gain the target’s defense values (if higher than yours) and basic attack bonus (if higher than yours) until the end of your next turn. If the target’s values are lower than yours, you gain a +2 bonus to yours.",,,,Move:  The effect persists.  You cannot sustain if you are staggered or the target scores a critical hit on you.,
Focus Weakness,You know this enemy well and know what to do to inflict the most harm.,Attack,Daily,19,High Cunning,"Martial, Reliable, Tactical",Move,Ranged,"20, one enemy",,,Intelligence +2,Will,"Until the end of the encounter, you learn all of the target's powers, defense values, and characteristics. In addition, you score a critical hit on a natural roll of 18, 19 or 20 and if you score a critical hit, the target takes 1dW extra damage.",,,,,
Thousands of Calculations,"Every outcome, every possible consequence, repeats in your head until you decide a course of action. The strain of thinking this quickly can get to some people.",Utility,At-Will,22,High Cunning,Martial,Free,Self,,,,,,,,Roll twice for your next attack roll or skill check and take the better result value. Take damage equal to half your level.,This power can only be used once per round.,,
Natural Instincts,"The last attempt worked so well, you try it again, hoping for the same result.",Attack,Daily,25,High Cunning,Martial,Swift,Self,,,,,,,,You recover the attack power you last used and immediately use it again.  You cannot reuse a power that is being maintained.,,,
Prodigy,You are a natural predator.,Attack,Encounter,27,High Cunning,Martial,Free,Self,,,,,,,,Use any unused encounter power you know.  The power is not expended.,,,
,,,,,,,,,,,,,,,,,,,
Ironsides,,,,,,,,,,,,,,,,,,,
Remember Me?,A few well-placed shots brings an enemy’s attention back around to you.,Attack,Encounter,11,Ironsides,"Martial, Weapon",Immediate (Counter) ,Melee or Ranged,"weapon, the triggering enemy",,An enemy you have marked attacks an ally.,Strength,AC,3dW + Strength modifier damage.,3dW damage.,The target’s attack misses.,,,
Encouraging Stance,"You may not be the leader, but you do set the example.",Utility,Daily,12,Ironsides,Martial,Free,Near,"eyesight, three allies",,You score a critical hit on an enemy.,,,,,The target can spend a recovery and heal their recovery value.,,,
Onslaught,The enemy forces are close enough to see your eyes. They expect you to run; you don’t. They realize too late your unshakable will. ,Attack,Daily,20,Ironsides,"Martial, Weapon",Standard and Move,Near,"arc 6, all enemies",,,Strength,AC,"2dW + Strength modifier damage, and the target is knocked prone.",You can repeat the attack once against each target.,,,Standard: Shift three squares and repeat the attack. You cannot attack prone targets and you cannot sustain if you have no targets.,
,,,,,,,,,,,,,,,,,,,
Shadowsneak,,,,,,,,,,,,,,,,,,,
Complete Covertness,"You could be standing in front of the enemy, and he still wouldn’t see you.",Attack,Encounter,11,Shadowsneak,"Martial, Maneuver",Move,Ranged,"10, one creature granting you combat advantage",,,Dexterity +2,Will,"Until the end of your next turn, you are invisible to the target, you can pass through its square, and you can make Stealth checks against it with no penalties for movement and without requiring any cover or concealment. ",,,You can use this power again with an action point (replacing the action).,,
Back of Your Head ,Nothing gets past you.,Utility,Daily,12,Shadowsneak,Martial,Swift,Self,,,,,,,,"Until the end of the encounter, you don't grant combat advantage and you cannot be distracted. You can walk or run without suffering penalties to Stealth checks.",,,
Looking Nonchalant,You slip by your enemies even with them looking straight at you.,Attack,Daily,20,Shadowsneak,"Martial, Maneuver",Move,Near,"burst 10, all enemies you can see",,,Dexterity +2,Will,"Until the end of your next turn, you are invisible to the target, you can pass through its square, and you can make Stealth checks against it with no penalties for movement and without requiring any cover or concealment. ",You may reroll a missed attack roll once against each target.,,,,
,,,,,,,,,,,,,,,,,,,
Selfless Protector,,,,,,,,,,,,,,,,,,,
Protective Instincts,Someone takes a shot at you or your assignment.  Your reflexes kick in.,Attack,Encounter,11,Selfless Protector,"Martial, Weapon",Immediate (Counter),Self,,,A creature attacks you or your focus.,,,,,"Make a basic attack, and you and your focus shift together 4 squares.","If you or your focus is hit before the start of your next turn, you recover the use of this power.",,
Evasive Techniques,You throw your client out of the way of imminent death.,Utility,Daily,12,Selfless Protector,Martial,Immediate (Counter),Melee,"touch, your focus",,Your focus is hit by an attack.,,,,,Swap places with your focus and you are the target of the attack. You and your focus shift together 5 squares. You gain a +2 power bonus to AC and Reflex defense until the end of your next turn.,,,
Aggressive Response,The point is to act before your enemy even intends to strike.,Attack,Daily,20,Selfless Protector,"Martial, Weapon",Immediate (Counter),Self,,,An enemy acts before you at the start of an encounter.,,,,,"Make a basic attack against the triggering enemy: on a hit, the enemy is stunned until the start of your next turn. Select any creature within 4 squares as your focus a free action and pull them to an adjacent square.",,,
,,,,,,,,,,,,,,,,,,,
Red in Tooth and Claw,,,,,,,,,,,,,,,,,,,
Wild Shape,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Form",Swift,Self,,,,,,,,"You take the form of a four-legged beast, like a lion, ram or owlbear, of your size or one size large or smaller than you. The first time per encounter that you do so, you can also spend one recovery to heal your recovery value. 

While in this form you cannot use powers unless they have the Wild Shape tag. You can leave this form as a swift action, and you do so automatically if you are reduced to 0 HP or below. You can use this power once per round. ",,,
Dire Rat Aspect,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,"If you attack a creature against which you have combat advantage, you do persistent damage equal to your Wisdom modifier (save ends). ","If you take one minute to use this power, you take the form of a Tiny rat or Small dire rat, with low-light vision, speed 6 and climb 4.  You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that a rat can do, and you are a convincing rat from the perspective of others.",,
Bear Aspect,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,Your attacks also push the target 1 on a hit. ,"If you take one minute to use this power, you take the form of a Large bear, with low-light vision and speed 8. You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that a bear can do, and you are a convincing bear from the perspective of others.",,
Bat Aspect,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,You gain darkvision and blindsight 10. ,"If you take one minute to use this power, you take the form of a Tiny or Small bat or flying fox, with darkvision and blindsight 10, and speed 2 and fly 6 (maximum altitude 4). You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that a bat can do, and you are a convincing bat from the perspective of others.",,
Bull Aspect,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,"You gain +2 speed when you charge, and do additional damage equal to your Constitution modifier on a charge.","If you take one minute to use this power, you take the form of a Large bull or cow, with low-light vision, and speed 8. You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that cattle can do, and you are a convincing cow from the perspective of others.",,
Boar Aspect,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,"Each time you hit on an attack, you gain temporary hit points equal to your Constitution modifier. Note that temporary hit points do not stack.","If you take one minute to use this power, you take the form of a Medium boar or domesticated pig, with low-light vision, and speed 8. You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that a swine can do, and you are a convincing swine from the perspective of others.",,
Behemoth Aspect,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,"While you are staggered, you score a critical hit on a natural 19 as well as on a natural 20.","If you take one minute to use this power, you take the form of a Small velociraptor or Large deinonychus, with low-light vision, and speed 8. You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that a raptor can do, and you are a convincing raptor from the perspective of others.",,
Leopard Aspect,,Utility,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,"Each time an adjacent enemy misses you with an attack, you may shift 1.","If you take one minute to use this power, you take the form of a Tiny cat or Medium cougar, cheetah, leopard or jaguar, with low-light vision, and speed 8. You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that a cat can do, and you are a convincing cat from the perspective of others.",,
Monster Mash,You bob and weave through combat with the grace of a cat.,Attack,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Standard,Melee,"touch, one target",,,Constitution,AC,"1d6 + Constitution modifier damage, and you shift 1 square.
*Level 21:* 2d6 + Constitution modifier damage.
",,,,,
Untrimmed,Your fiercer side begins to show and you bare your claws.,Attack,At-Will,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus",Standard,Melee,"touch, one target",,,Constitution,AC,"1d10 + Constitution modifier damage.
*Level 21:* 2d10 + Strength modifier damage.",,,,,
Pestilent Bite,,Attack,Daily,1,Red in Tooth and Claw,"Spirit, Wild Shape, Focus, Poison",Standard,Melee,"touch, one target",,,Constitution,AC,1d8 + Constitution modifier damage.,,,,,
Wolverine Aspect,,Attack,Daily,1,Red in Tooth and Claw,"Spirit, Wild Shape, Stance",Swift,Self,,,,,,,,"Your attacks do additional damage equal to your Wisdom modifier, and mark the target.","If you take one minute to use this power, you take the form of a Tiny ferret or weasel or Small badger or wolverine, with low-light vision and speed 8. You can talk in this form. While in this form you cannot use powers unless they have the Wild Shape tag, and you cannot make attacks or use attack powers. Otherwise, you can do all the things that a mustelid can do, and you are a convincing mustelid from the perspective of others.",,
